3392	41	1.87	3.13	3.24
3393	40	1.87	3.12	3.24
3394	40	1.88	3.12	3.23
3395	40	1.89	3.11	3.23
3396	41	1.89	3.1	3.22
3397	41	1.9	3.09	3.22
3398	39	1.9	3.08	3.23
3399	41	1.9	3.07	3.23
3400	41	1.91	3.06	3.23
3401	41	1.91	3.04	3.24
3402	41	1.91	3.03	3.25
3403	41	1.91	3.02	3.27
3404	41	1.92	3	3.28
3405	41	1.92	2.99	3.29
3406	42	1.93	2.97	3.31
3407	41	1.94	2.95	3.33
3408	41	1.94	2.93	3.35
3409	41	1.94	2.9	3.37
3410	40	1.95	2.88	3.39
3411	40	1.95	2.87	3.41
3412	41	1.96	2.85	3.43
3413	41	1.97	2.85	3.44
3414	41	1.98	2.84	3.45
3415	41	1.99	2.83	3.46
3416	41	2.01	2.83	3.47
3417	41	2.02	2.82	3.48
3418	41	2.03	2.82	3.49
3419	41	2.06	2.81	3.5
3420	39	2.07	2.81	3.51
3421	40	2.08	2.81	3.51
3422	40	2.11	2.81	3.51
3423	39	2.13	2.8	3.51
3424	39	2.14	2.8	3.51
3425	39	2.15	2.8	3.51
3426	39	2.16	2.8	3.5
3427	39	2.17	2.8	3.49
3428	38	2.19	2.8	3.48
3430	39	2.19	2.8	3.47
3431	39	2.18	2.79	3.51
3432	39	2.19	2.79	3.5
3433	40	2.19	2.79	3.48
3434	40	2.19	2.8	3.41
3435	40	2.2	2.79	3.39
3436	39	2.21	2.79	3.38
3437	39	2.22	2.76	3.38
3438	39	2.23	2.76	3.35
3439	38	2.24	2.74	3.33
3440	38	2.25	2.74	3.33
3441	38	2.26	2.72	3.32
3442	39	2.26	2.71	3.32
3443	39	2.28	2.7	3.33
3444	41	2.29	2.69	3.33
3445	40	2.31	2.69	3.33
3446	40	2.33	2.66	3.35
3447	40	2.35	2.64	3.36
3448	41	2.36	2.62	3.38
3449	41	2.37	2.6	3.4
3450	41	2.38	2.58	3.42
3451	40	2.39	2.57	3.44
3452	40	2.4	2.56	3.46
3453	40	2.4	2.55	3.48
3454	40	2.41	2.54	3.5
3455	40	2.42	2.54	3.56
3456	40	2.42	2.51	3.5
3457	41	2.43	2.52	3.54
3458	40	2.44	2.54	3.55
3459	40	2.44	2.54	3.55
3460	40	2.45	2.49	3.53
3461	40	2.46	2.48	3.53
3462	40	2.46	2.48	3.52
3463	38	2.47	2.48	3.49
3464	38	2.49	2.46	3.51
3465	39	2.5	2.46	3.49
3466	39	2.51	2.46	3.49
3467	39	2.52	2.45	3.47
3468	39	2.53	2.44	3.46
3469	39	2.54	2.43	3.47
3470	38	2.56	2.43	3.46
3471	38	2.57	2.42	3.44
3472	37	2.59	2.42	3.42
3473	37	2.61	2.42	3.41
3474	37	2.63	2.42	3.39
3475	37	2.65	2.41	3.37
3476	36	2.67	2.4	3.35
3477	35	2.69	2.41	3.31
3478	35	2.7	2.41	3.29
3479	35	2.72	2.4	3.3
3480	34	2.74	2.39	3.3
3481	34	2.75	2.38	3.31
3482	33	2.77	2.38	3.31
3483	33	2.78	2.38	3.31
3484	33	2.8	2.37	3.31
3485	33	2.82	2.36	3.32
3486	32	2.84	2.35	3.33
3487	32	2.86	2.35	3.34
3488	32	2.88	2.34	3.35
3489	32	2.97	2.33	3.36
3490	32	2.99	2.33	3.37
3491	31	3	2.32	3.38
3492	31	3.02	2.32	3.38
3493	30	3.03	2.33	3.36
3494	30	3.04	2.32	3.37
3495	32	3.05	2.32	3.38
3496	32	3.07	2.31	3.38
3497	32	3.08	2.31	3.39
3498	32	3.1	2.31	3.37
3499	32	3.11	2.3	3.38
3500	32	3.11	2.29	3.36
3501	33	3.13	2.29	3.36
3502	33	3.14	2.29	3.35
3503	33	3.15	2.29	3.35
3504	33	3.17	2.29	3.33
3505	33	3.18	2.28	3.32
3506	33	3.2	2.28	3.31
3507	32	3.21	2.27	3.3
3508	31	3.23	2.27	3.28
3509	31	3.24	2.27	3.27
3510	32	3.25	2.26	3.25
3511	31	3.26	2.25	3.24
3512	31	3.27	2.21	3.27
3513	30	3.27	2.2	3.26
			2.2	3.25
